Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
December 31 2024,James City,VA,Passenger,1,0,1,24,25,4.00
September 30 2020,Pierce,WA,Truck,0,0,0,143877,143877,0.00
February 28 2023,Coryell,TX,Passenger,1,0,1,79,80,1.25
November 30 2022,Deschutes,OR,Passenger,2,0,2,102,104,1.92
August 31 2024,Prince George,VA,Passenger,2,0,2,42,44,4.55
November 30 2023,Providence,RI,Passenger,1,0,1,19,20,5.00
July 31 2017,Hamilton,IN,Passenger,1,0,1,58,59,1.69
August 31 2017,Morris,NJ,Passenger,1,0,1,22,23,4.35
July 31 2024,Bristol,MA,Passenger,1,0,1,6,7,14.29
March 31 2023,Pierce,WA,Passenger,6816,2616,9432,532548,541980,1.74
June 30 2020,Yakima,WA,Passenger,132,119,251,165286,165537,0.15
April 30 2020,Penobscot,ME,Passenger,0,2,2,16,18,11.11
October 31 2020,Santa Cruz,CA,Passenger,1,0,1,33,34,2.94
July 31 2020,Kootenai,ID,Passenger,1,1,2,226,228,0.88
March 31 2021,Sussex,NJ,Passenger,1,0,1,2,3,33.33
January 31 2023,Snohomish,WA,Truck,112,0,112,122266,122378,0.09
February 28 2019,Spokane,WA,Truck,1,0,1,93857,93858,0.00
December 31 2020,Grays Harbor,WA,Passenger,127,121,248,48631,48879,0.51
December 31 2020,Douglas,CO,Passenger,0,1,1,87,88,1.14
November 30 2019,Flathead,MT,Passenger,1,0,1,75,76,1.32
May 31 2024,Bell,TX,Passenger,2,0,2,211,213,0.94
June 30 2020,St. Mary's,MD,Passenger,1,0,1,221,222,0.45
October 31 2023,Duval,FL,Passenger,2,0,2,241,243,0.82
July 31 2023,Douglas,NE,Passenger,2,1,3,30,33,9.09
September 30 2021,Portsmouth,VA,Passenger,0,1,1,78,79,1.27
November 30 2019,Pierce,WA,Passenger,2082,1628,3710,547130,550840,0.67
January 31 2017,Okanogan,WA,Passenger,3,15,18,25812,25830,0.07
January 31 2021,Prince William,VA,Passenger,1,2,3,226,229,1.31
December 31 2023,Moore,NC,Passenger,0,1,1,114,115,0.87
March 31 2022,Grays Harbor,WA,Truck,0,0,0,21347,21347,0.00
January 31 2024,Lake,IL,Passenger,6,0,6,125,131,4.58
June 30 2020,Anne Arundel,MD,Passenger,0,1,1,411,412,0.24
December 31 2019,Chesapeake,VA,Passenger,0,1,1,445,446,0.22
November 30 2019,Juneau,AK,Passenger,0,2,2,34,36,5.56
February 29 2024,Loudoun,VA,Passenger,2,1,3,57,60,5.00
September 30 2021,Missoula,MT,Passenger,1,0,1,59,60,1.67
November 30 2024,Cuyahoga,OH,Passenger,1,0,1,33,34,2.94
December 31 2023,King,WA,Passenger,69475,16646,86121,1315127,1401248,6.15
August 31 2024,Cowlitz,WA,Passenger,746,291,1037,69463,70500,1.47
January 31 2019,Muskogee,OK,Passenger,0,1,1,2,3,33.33
May 31 2019,Prince William,VA,Passenger,1,5,6,250,256,2.34
December 31 2018,Montgomery,MD,Passenger,1,0,1,284,285,0.35
September 30 2018,Riverside,CA,Passenger,2,2,4,713,717,0.56
July 31 2024,Middlesex,NJ,Passenger,1,0,1,20,21,4.76
July 31 2022,Richland,SC,Passenger,0,1,1,139,140,0.71
November 30 2018,Oldham,KY,Passenger,0,1,1,5,6,16.67
January 31 2018,Grays Harbor,WA,Truck,0,0,0,20083,20083,0.00
October 31 2018,Monterey,CA,Passenger,0,1,1,196,197,0.51
December 31 2023,Suffolk,MA,Passenger,3,0,3,27,30,10.00
April 30 2021,Tom Green,TX,Passenger,0,1,1,22,23,4.35
September 30 2020,Putnam,TN,Passenger,0,1,1,2,3,33.33
July 31 2024,Lake,IL,Passenger,6,0,6,114,120,5.00
February 28 2022,Orange,CA,Passenger,6,3,9,440,449,2.00
July 31 2024,Clackamas,OR,Passenger,0,1,1,88,89,1.12
October 31 2021,Polk,FL,Passenger,1,0,1,73,74,1.35
July 31 2018,Camden,NJ,Passenger,0,1,1,30,31,3.23
November 30 2020,Sedgwick,KS,Passenger,1,1,2,94,96,2.08
January 31 2021,Carroll,NH,Passenger,0,1,1,4,5,20.00
December 31 2022,Kitsap,WA,Truck,33,0,33,52778,52811,0.06
June 30 2017,Clallam,WA,Passenger,90,76,166,48367,48533,0.34
May 31 2024,Calvert,MD,Passenger,1,1,2,68,70,2.86
December 31 2022,Oldham,KY,Passenger,0,1,1,5,6,16.67
October 31 2019,Okanogan,WA,Truck,0,0,0,16518,16518,0.00
April 30 2019,Deschutes,OR,Passenger,3,0,3,169,172,1.74
April 30 2020,Guadalupe,TX,Passenger,1,0,1,69,70,1.43
August 31 2022,Allen,IN,Passenger,1,0,1,17,18,5.56
October 31 2022,Grant,WA,Passenger,211,108,319,66589,66908,0.48
December 31 2021,Cook,IL,Passenger,3,0,3,220,223,1.35
November 30 2019,Montgomery,AL,Passenger,1,1,2,40,42,4.76
April 30 2021,Okanogan,WA,Passenger,59,35,94,26398,26492,0.35
July 31 2023,Dallas,TX,Passenger,3,0,3,94,97,3.09
August 31 2017,Prince George's,MD,Passenger,0,1,1,190,191,0.52
January 31 2021,Portsmouth,VA,Passenger,0,1,1,75,76,1.32
December 31 2020,Pierce,WA,Passenger,2824,1765,4589,554993,559582,0.82
November 30 2022,Kittitas,WA,Passenger,294,94,388,29513,29901,1.30
March 31 2021,Suffolk,VA,Passenger,1,0,1,125,126,0.79
June 30 2024,Clallam,WA,Truck,30,0,30,21389,21419,0.14
December 31 2019,Prince William,VA,Passenger,1,4,5,239,244,2.05
January 31 2022,Montgomery,MD,Passenger,3,2,5,211,216,2.31
October 31 2023,Klickitat,WA,Truck,13,0,13,8221,8234,0.16
September 30 2020,San Juan,WA,Truck,0,0,0,5846,5846,0.00
September 30 2022,Marion,IN,Passenger,1,0,1,43,44,2.27
February 29 2020,Arapahoe,CO,Passenger,1,0,1,148,149,0.67
April 30 2022,Washtenaw,MI,Passenger,0,1,1,33,34,2.94
February 29 2024,Kootenai,ID,Passenger,1,2,3,109,112,2.68
September 30 2022,Rockingham,NH,Passenger,1,0,1,19,20,5.00
February 29 2020,Kitsap,WA,Passenger,1272,653,1925,182184,184109,1.05
July 31 2024,Prince George's,MD,Passenger,3,1,4,106,110,3.64
March 31 2024,Prince William,VA,Passenger,2,4,6,145,151,3.97
January 31 2020,Monterey,CA,Passenger,0,1,1,190,191,0.52
February 29 2020,Sumter,FL,Passenger,0,1,1,9,10,10.00
August 31 2020,Stevens,WA,Truck,0,0,0,18642,18642,0.00
July 31 2018,Stevens,WA,Truck,0,0,0,18639,18639,0.00
July 31 2023,Pacific,WA,Truck,4,0,4,7819,7823,0.05
February 28 2023,Benton,WA,Passenger,986,519,1505,135512,137017,1.10
June 30 2018,San Mateo,CA,Passenger,1,1,2,135,137,1.46
May 31 2023,Jefferson,NY,Passenger,2,0,2,202,204,0.98
December 31 2024,Santa Clara,CA,Passenger,5,4,9,129,138,6.52
July 31 2017,New London,CT,Passenger,1,0,1,245,246,0.41
October 31 2022,Saratoga,NY,Passenger,1,0,1,45,46,2.17
November 30 2024,Isle of Wight,VA,Passenger,0,1,1,14,15,6.67
May 31 2022,Thurston,WA,Passenger,2121,1023,3144,193798,196942,1.60
November 30 2020,Walla Walla,WA,Truck,0,0,0,13810,13810,0.00
February 28 2017,Garfield,WA,Truck,0,0,0,933,933,0.00
March 31 2021,RÃ­o Grande,PR,Passenger,1,0,1,1,2,50.00
August 31 2023,Albemarle,VA,Passenger,3,0,3,18,21,14.29
July 31 2018,Okanogan,WA,Passenger,9,20,29,26015,26044,0.11
May 31 2018,Maricopa,AZ,Passenger,1,2,3,1681,1684,0.18
May 31 2018,Honolulu,HI,Passenger,2,2,4,546,550,0.73
June 30 2022,Collier,FL,Passenger,1,0,1,16,17,5.88
March 31 2023,San Joaquin,CA,Passenger,0,1,1,92,93,1.08
November 30 2018,Tulsa,OK,Passenger,1,0,1,55,56,1.79
October 31 2021,Marion,IN,Passenger,1,0,1,48,49,2.04
December 31 2021,Vigo,IN,Passenger,1,0,1,5,6,16.67
July 31 2021,Chatham,NC,Passenger,1,0,1,6,7,14.29
October 31 2021,Lake,FL,Passenger,1,0,1,26,27,3.70
March 31 2024,Richland,SC,Passenger,0,1,1,97,98,1.02
October 31 2024,Kings,CA,Passenger,2,1,3,226,229,1.31
November 30 2019,Kittitas,WA,Passenger,89,46,135,29995,30130,0.45
October 31 2021,Mason,WA,Truck,0,0,0,21252,21252,0.00
June 30 2018,Deschutes,OR,Passenger,1,0,1,183,184,0.54
May 31 2017,Monterey,CA,Passenger,0,1,1,214,215,0.47
November 30 2018,Montgomery,MD,Passenger,1,0,1,284,285,0.35
March 31 2021,King,WA,Truck,6,1,7,184449,184456,0.00
February 29 2020,Bexar,TX,Passenger,1,5,6,676,682,0.88
September 30 2018,Saratoga,NY,Passenger,1,0,1,60,61,1.64
July 31 2020,Honolulu,HI,Passenger,4,2,6,485,491,1.22
July 31 2021,Marion,IN,Passenger,1,0,1,53,54,1.85
November 30 2021,Lexington,SC,Passenger,1,0,1,28,29,3.45
April 30 2023,Horry,SC,Passenger,1,0,1,13,14,7.14
January 31 2020,Arapahoe,CO,Passenger,1,0,1,149,150,0.67
November 30 2021,Lincoln,WA,Passenger,7,16,23,7682,7705,0.30
October 31 2017,Prince George's,MD,Passenger,0,1,1,183,184,0.54
April 30 2022,San Mateo,CA,Passenger,3,0,3,98,101,2.97
May 31 2020,Shelby,TN,Passenger,0,1,1,91,92,1.09
March 31 2023,Williamson,TX,Passenger,0,1,1,83,84,1.19
July 31 2019,Williamson,TX,Passenger,0,2,2,164,166,1.20
December 31 2017,Brevard,FL,Passenger,0,1,1,103,104,0.96
March 31 2023,Fulton,GA,Passenger,1,1,2,72,74,2.70
July 31 2023,Montgomery,PA,Passenger,1,0,1,22,23,4.35
March 31 2020,King,WA,Truck,5,1,6,182345,182351,0.00
May 31 2017,Orange,CA,Passenger,3,1,4,662,666,0.60
March 31 2020,Los Angeles,CA,Passenger,6,11,17,1081,1098,1.55
January 31 2020,San Francisco,CA,Passenger,2,2,4,109,113,3.54
January 31 2022,Greene,MO,Passenger,0,1,1,31,32,3.12
November 30 2017,Los Angeles,CA,Passenger,4,2,6,1252,1258,0.48
October 31 2020,Washtenaw,MI,Passenger,1,1,2,34,36,5.56
June 30 2021,Richmond,NY,Passenger,1,0,1,6,7,14.29
June 30 2018,Mercer,NJ,Passenger,0,1,1,18,19,5.26
May 31 2018,Monroe,IL,Passenger,1,0,1,4,5,20.00
June 30 2018,Monterey,CA,Passenger,0,1,1,190,191,0.52
July 31 2018,Lincoln,WA,Truck,0,0,0,4555,4555,0.00
August 31 2023,Arapahoe,CO,Passenger,1,1,2,76,78,2.56
July 31 2022,Yellowstone,MT,Passenger,0,1,1,27,28,3.57
October 31 2017,Walla Walla,WA,Passenger,28,28,56,35131,35187,0.16
April 30 2020,Cumberland,NC,Passenger,1,2,3,478,481,0.62
August 31 2021,Stevens,WA,Truck,0,0,0,18895,18895,0.00
January 31 2024,Chelan,WA,Truck,48,0,48,23099,23147,0.21
June 30 2024,Benton,WA,Truck,44,0,44,42867,42911,0.10
January 31 2017,Columbia,WA,Truck,0,0,0,1544,1544,0.00
May 31 2024,Sarasota,FL,Passenger,1,0,1,21,22,4.55
November 30 2023,Bay,FL,Passenger,1,0,1,26,27,3.70
April 30 2020,Snohomish,WA,Truck,0,0,0,123274,123274,0.00
August 31 2021,Jefferson,WA,Truck,0,0,0,9608,9608,0.00
November 30 2019,Riverside,CA,Passenger,4,1,5,660,665,0.75
March 31 2019,District of Columbia,DC,Passenger,1,0,1,196,197,0.51
August 31 2024,Doña Ana,NM,Passenger,1,0,1,11,12,8.33
April 30 2017,DeKalb,GA,Passenger,1,0,1,85,86,1.16
December 31 2022,Louisa,VA,Passenger,0,1,1,1,2,50.00
September 30 2022,Williamsburg,VA,Passenger,0,1,1,7,8,12.50
June 30 2021,Jefferson,WA,Truck,0,0,0,9621,9621,0.00
September 30 2022,Wahkiakum,WA,Truck,1,0,1,1799,1800,0.06
February 29 2020,Garfield,WA,Truck,0,0,0,963,963,0.00
August 31 2023,Horry,SC,Passenger,1,0,1,11,12,8.33
May 31 2024,Whatcom,WA,Passenger,3301,1189,4490,147570,152060,2.95
March 31 2024,Cowlitz,WA,Passenger,656,266,922,69447,70369,1.31
May 31 2021,Franklin,WA,Truck,0,0,0,20644,20644,0.00
February 29 2020,Clackamas,OR,Passenger,2,1,3,229,232,1.29
October 31 2018,Sedgwick,KS,Passenger,0,1,1,104,105,0.95
October 31 2017,Dale,AL,Passenger,0,1,1,59,60,1.67
December 31 2021,Walla Walla,WA,Truck,0,0,0,14084,14084,0.00
February 29 2024,Tom Green,TX,Passenger,0,1,1,16,17,5.88
September 30 2020,Whitman,WA,Passenger,47,47,94,21968,22062,0.43
December 31 2022,Clallam,WA,Passenger,484,259,743,49349,50092,1.48
January 31 2020,Mason,WA,Truck,0,0,0,20555,20555,0.00
December 31 2023,Laramie,WY,Passenger,1,0,1,32,33,3.03
March 31 2023,Hays,TX,Passenger,1,0,1,12,13,7.69
May 31 2024,Churchill,NV,Passenger,0,1,1,31,32,3.12
July 31 2020,Chatham,NC,Passenger,1,0,1,6,7,14.29
March 31 2023,Wilson,TX,Passenger,0,1,1,3,4,25.00
November 30 2023,Franklin,WA,Passenger,375,158,533,62259,62792,0.85
November 30 2024,Grant,WA,Passenger,525,231,756,66802,67558,1.12
September 30 2023,San Bernardino,CA,Passenger,3,1,4,323,327,1.22
March 31 2023,Chesapeake,VA,Passenger,3,1,4,337,341,1.17
December 31 2020,Putnam,TN,Passenger,0,1,1,3,4,25.00
March 31 2020,San Joaquin,CA,Passenger,1,0,1,142,143,0.70
November 30 2020,El Paso,TX,Passenger,3,0,3,407,410,0.73
November 30 2018,Twin Falls,ID,Passenger,0,1,1,25,26,3.85
February 28 2022,Denton,TX,Passenger,2,0,2,83,85,2.35
January 31 2024,Caddo,LA,Passenger,2,0,2,12,14,14.29
February 29 2024,San Benito,CA,Passenger,1,0,1,6,7,14.29
July 31 2018,Snohomish,WA,Passenger,2403,1285,3688,522496,526184,0.70
August 31 2018,Yakima,WA,Passenger,67,92,159,164175,164334,0.10
August 31 2024,Prince William,VA,Passenger,2,4,6,131,137,4.38
November 30 2020,Franklin,WA,Passenger,78,79,157,61129,61286,0.26
April 30 2023,Garfield,WA,Truck,0,0,0,978,978,0.00
August 31 2022,Maricopa,AZ,Passenger,17,3,20,1101,1121,1.78
June 30 2019,St. Clair,IL,Passenger,0,1,1,168,169,0.59
March 31 2023,Lincoln,OR,Passenger,0,1,1,22,23,4.35
April 30 2019,Boulder,CO,Passenger,1,0,1,51,52,1.92
May 31 2020,Lee,FL,Passenger,1,0,1,50,51,1.96
November 30 2018,Jefferson,CO,Passenger,0,2,2,63,65,3.08
June 30 2023,Newport News,VA,Passenger,1,0,1,108,109,0.92
March 31 2021,Sarasota,FL,Passenger,2,0,2,40,42,4.76
December 31 2019,Twin Falls,ID,Passenger,0,1,1,29,30,3.33
March 31 2024,Mason,WA,Passenger,589,243,832,46001,46833,1.78
June 30 2021,Anne Arundel,MD,Passenger,3,1,4,388,392,1.02
January 31 2023,Skamania,WA,Truck,1,0,1,3879,3880,0.03
February 28 2023,Cumberland,PA,Passenger,1,0,1,44,45,2.22
November 30 2020,Lake,IL,Passenger,2,0,2,172,174,1.15
December 31 2021,Chelan,WA,Passenger,408,115,523,54639,55162,0.95
June 30 2021,St. Clair,IL,Passenger,1,0,1,145,146,0.68
February 28 2017,St. Lucie,FL,Passenger,1,0,1,31,32,3.12
April 30 2017,Stevens,WA,Truck,0,0,0,18274,18274,0.00
September 30 2021,Grays Harbor,WA,Passenger,183,149,332,49447,49779,0.67
July 31 2022,Mason,WA,Passenger,317,168,485,47036,47521,1.02
January 31 2021,Plaquemines,LA,Passenger,0,1,1,16,17,5.88
February 28 2022,St. Clair,IL,Passenger,1,0,1,134,135,0.74
July 31 2024,Suffolk,VA,Passenger,1,1,2,85,87,2.30
May 31 2021,Sevier,AR,Passenger,0,1,1,0,1,100.00
April 30 2022,Los Angeles,CA,Passenger,5,6,11,880,891,1.23
August 31 2018,Pima,AZ,Passenger,1,1,2,447,449,0.45
May 31 2019,Bexar,TX,Passenger,2,5,7,692,699,1.00
December 31 2024,Adams,CO,Passenger,1,0,1,19,20,5.00
April 30 2020,Albemarle,VA,Passenger,1,0,1,25,26,3.85
June 30 2019,Snohomish,WA,Truck,0,0,0,122345,122345,0.00
March 31 2019,Cowlitz,WA,Truck,0,0,0,28774,28774,0.00
July 31 2018,Whitman,WA,Passenger,19,28,47,22651,22698,0.21
January 31 2021,Chesapeake,VA,Passenger,0,2,2,424,426,0.47
April 30 2023,Pinal,AZ,Passenger,0,1,1,110,111,0.90
November 30 2023,Cumberland,PA,Passenger,1,0,1,38,39,2.56
January 31 2024,Fredericksburg,VA,Passenger,1,0,1,5,6,16.67
July 31 2018,Clallam,WA,Truck,0,0,0,21480,21480,0.00
December 31 2024,Adams,WA,Passenger,49,21,70,12791,12861,0.54
November 30 2018,Garfield,WA,Truck,0,0,0,963,963,0.00
July 31 2024,Washington,OR,Passenger,1,0,1,178,179,0.56
September 30 2024,Yuba,CA,Passenger,1,0,1,46,47,2.13
October 31 2024,Island,WA,Passenger,1652,578,2230,60094,62324,3.58
August 31 2021,Benton,WA,Truck,0,0,0,43593,43593,0.00
March 31 2018,Thurston,WA,Truck,0,0,0,53982,53982,0.00
January 31 2024,Los Angeles,CA,Passenger,11,3,14,621,635,2.20
December 31 2019,Pima,AZ,Passenger,3,1,4,409,413,0.97
February 28 2017,Franklin,OH,Passenger,0,1,1,118,119,0.84
June 30 2019,Montgomery,TX,Passenger,2,0,2,66,68,2.94
August 31 2019,Placer,CA,Passenger,1,0,1,107,108,0.93
March 31 2019,Ventura,CA,Passenger,0,2,2,328,330,0.61
August 31 2023,Alexandria,VA,Passenger,3,0,3,94,97,3.09
December 31 2024,Alameda,CA,Passenger,4,1,5,121,126,3.97
August 31 2023,Henrico,VA,Passenger,0,1,1,16,17,5.88
April 30 2017,Essex,MA,Passenger,1,0,1,27,28,3.57
May 31 2023,Skagit,WA,Truck,19,0,19,31899,31918,0.06
September 30 2020,Skamania,WA,Passenger,32,21,53,8362,8415,0.63
July 31 2022,District of Columbia,DC,Passenger,2,0,2,168,170,1.18
June 30 2022,Larimer,CO,Passenger,1,0,1,46,47,2.13
January 31 2020,Valencia,NM,Passenger,1,0,1,7,8,12.50
April 30 2024,Lane,OR,Passenger,0,1,1,61,62,1.61
August 31 2020,Chatham,NC,Passenger,1,0,1,6,7,14.29
January 31 2018,Orange,CA,Passenger,3,1,4,593,597,0.67
April 30 2023,Providence,RI,Passenger,1,0,1,20,21,4.76
October 31 2022,San Joaquin,CA,Passenger,1,0,1,99,100,1.00
August 31 2021,Saginaw,MI,Passenger,1,0,1,8,9,11.11
June 30 2023,Spotsylvania,VA,Passenger,1,0,1,28,29,3.45
January 31 2024,Pierce,WA,Passenger,9803,3259,13062,524425,537487,2.43
September 30 2017,Mason,WA,Passenger,61,71,132,44166,44298,0.30
November 30 2018,Norfolk,VA,Passenger,2,2,4,334,338,1.18
May 31 2020,Rogers,OK,Passenger,1,0,1,10,11,9.09
June 30 2024,Multnomah,OR,Passenger,1,1,2,383,385,0.52
March 31 2024,Mercer,NJ,Passenger,0,1,1,6,7,14.29
May 31 2023,Maui,HI,Passenger,1,0,1,19,20,5.00
November 30 2022,Columbia,WA,Passenger,8,1,9,2426,2435,0.37
February 28 2018,Salt Lake,UT,Passenger,1,0,1,246,247,0.40
July 31 2018,Broward,FL,Passenger,1,1,2,132,134,1.49
April 30 2020,Portsmouth,VA,Passenger,0,1,1,75,76,1.32
May 31 2024,Cameron,TX,Passenger,1,0,1,15,16,6.25
November 30 2022,Camden,NJ,Passenger,0,1,1,12,13,7.69
January 31 2024,Kitsap,WA,Passenger,4050,1526,5576,174958,180534,3.09
January 31 2017,Stevens,WA,Passenger,6,21,27,31520,31547,0.09
November 30 2023,Harris,TX,Passenger,2,2,4,150,154,2.60
November 30 2020,Collin,TX,Passenger,2,1,3,132,135,2.22
January 31 2017,Honolulu,HI,Passenger,4,2,6,675,681,0.88
June 30 2019,Sacramento,CA,Passenger,0,1,1,307,308,0.32
November 30 2017,Tulare,CA,Passenger,1,0,1,189,190,0.53
January 31 2023,Virginia Beach,VA,Truck,1,0,1,120,121,0.83
November 30 2020,Kitsap,WA,Truck,0,0,0,54248,54248,0.00
August 31 2021,Asotin,WA,Truck,0,0,0,6750,6750,0.00
December 31 2017,Clallam,WA,Truck,0,0,0,21222,21222,0.00
May 31 2020,Pend Oreille,WA,Truck,0,0,0,5737,5737,0.00
May 31 2021,Carroll,NH,Passenger,0,1,1,4,5,20.00
May 31 2019,Howard,MD,Passenger,0,1,1,85,86,1.16
February 29 2020,Rogers,OK,Passenger,1,0,1,10,11,9.09
July 31 2023,Kitsap,WA,Truck,80,0,80,52065,52145,0.15
September 30 2022,Clallam,WA,Truck,6,0,6,21863,21869,0.03
June 30 2022,Klickitat,WA,Passenger,102,56,158,15210,15368,1.03
March 31 2024,Adams,WA,Passenger,33,15,48,13093,13141,0.37
September 30 2017,Montgomery,TN,Passenger,1,0,1,280,281,0.36
June 30 2021,Burlington,NJ,Passenger,0,1,1,125,126,0.79
July 31 2024,Plaquemines,LA,Passenger,1,1,2,18,20,10.00
May 31 2018,Thurston,WA,Passenger,547,463,1010,192254,193264,0.52
December 31 2022,Ventura,CA,Passenger,3,3,6,247,253,2.37
April 30 2018,Marion,IN,Passenger,1,0,1,119,120,0.83
May 31 2024,Mohave,AZ,Passenger,1,0,1,33,34,2.94
January 31 2019,Mercer,NJ,Passenger,0,1,1,17,18,5.56
February 28 2021,Fairfax,VA,Passenger,5,3,8,718,726,1.10
January 31 2021,Nueces,TX,Passenger,1,0,1,88,89,1.12
April 30 2023,Charleston,SC,Passenger,1,2,3,63,66,4.55
July 31 2021,Orange,FL,Passenger,3,0,3,115,118,2.54
November 30 2024,Marin,CA,Passenger,1,2,3,34,37,8.11
July 31 2021,Wahkiakum,WA,Truck,0,0,0,1790,1790,0.00
March 31 2018,Utah,UT,Passenger,0,1,1,150,151,0.66
December 31 2024,St. Charles,MO,Passenger,1,0,1,22,23,4.35
January 31 2019,Yakima,WA,Passenger,84,100,184,164890,165074,0.11
September 30 2021,Burlington,NJ,Passenger,0,1,1,115,116,0.86
January 31 2023,Fairbanks North Star,AK,Passenger,0,1,1,70,71,1.41
October 31 2020,Frederick,MD,Passenger,1,1,2,63,65,3.08
April 30 2023,Washington,MD,Passenger,2,0,2,14,16,12.50
October 31 2024,Pacific,WA,Truck,14,0,14,7681,7695,0.18
May 31 2017,Spokane,WA,Truck,1,0,1,90316,90317,0.00
June 30 2019,Washoe,NV,Passenger,2,0,2,121,123,1.63
November 30 2018,Denver,CO,Passenger,1,0,1,136,137,0.73
February 28 2021,Arlington,VA,Passenger,0,1,1,152,153,0.65
December 31 2020,Lake,IL,Passenger,2,0,2,171,173,1.16
October 31 2019,Palm Beach,FL,Passenger,0,2,2,88,90,2.22
July 31 2024,Maui,HI,Passenger,1,0,1,14,15,6.67
March 31 2024,Whitman,WA,Passenger,212,122,334,21906,22240,1.50
January 31 2021,Cumberland,NC,Passenger,1,2,3,451,454,0.66
April 30 2023,Middlesex,MA,Passenger,3,0,3,94,97,3.09
January 31 2022,Lane,OR,Passenger,0,2,2,125,127,1.57
August 31 2021,Montgomery,AL,Passenger,1,0,1,39,40,2.50
March 31 2024,Marion,IN,Passenger,2,0,2,29,31,6.45
January 31 2019,Lake,CA,Passenger,0,1,1,12,13,7.69
April 30 2024,Lee,AL,Passenger,1,0,1,13,14,7.14
September 30 2024,DeKalb,GA,Truck,1,0,1,0,1,100.00
November 30 2021,Stevens,WA,Truck,0,0,0,18898,18898,0.00
September 30 2019,Harris,TX,Passenger,1,1,2,298,300,0.67
March 31 2023,Sonoma,CA,Passenger,3,1,4,75,79,5.06
April 30 2022,Hennepin,MN,Passenger,3,0,3,72,75,4.00
April 30 2024,Calvert,MD,Passenger,1,1,2,70,72,2.78
October 31 2023,Mercer,NJ,Passenger,0,1,1,8,9,11.11
November 30 2022,Essex,MA,Passenger,3,0,3,18,21,14.29
October 31 2022,Penobscot,ME,Passenger,0,2,2,9,11,18.18
March 31 2019,Monroe,IL,Passenger,1,0,1,3,4,25.00
March 31 2020,Snohomish,WA,Passenger,4368,1747,6115,537137,543252,1.13
April 30 2018,Adams,WA,Passenger,5,4,9,12516,12525,0.07
February 28 2021,Island,WA,Truck,0,0,0,21380,21380,0.00
November 30 2022,Calvert,MD,Passenger,0,2,2,84,86,2.33
February 28 2018,Kent,MI,Passenger,0,1,1,36,37,2.70
May 31 2023,Franklin,OH,Passenger,1,0,1,59,60,1.67
March 31 2022,Kitsap,WA,Truck,1,0,1,53862,53863,0.00
August 31 2022,Benton,WA,Truck,5,0,5,43360,43365,0.01
July 31 2019,Whitman,WA,Passenger,33,45,78,22690,22768,0.34
August 31 2020,Salt Lake,UT,Passenger,1,1,2,204,206,0.97
December 31 2020,Pulaski,MO,Passenger,1,0,1,142,143,0.70
March 31 2023,San Luis Obispo,CA,Passenger,1,1,2,59,61,3.28
November 30 2021,Howard,IN,Passenger,0,1,1,6,7,14.29
June 30 2024,Spokane,WA,Truck,112,0,112,101306,101418,0.11
October 31 2024,Grays Harbor,WA,Truck,26,0,26,20496,20522,0.13
April 30 2023,Mason,WA,Truck,11,0,11,20768,20779,0.05
March 31 2018,Pacific,WA,Truck,0,0,0,7573,7573,0.00
December 31 2018,Clallam,WA,Passenger,150,120,270,50351,50621,0.53
November 30 2022,Asotin,WA,Passenger,29,20,49,12450,12499,0.39
March 31 2021,Nueces,TX,Passenger,1,0,1,88,89,1.12
May 31 2019,Shelby,TN,Passenger,0,1,1,99,100,1.00
September 30 2017,Gwinnett,GA,Passenger,0,1,1,90,91,1.10
October 31 2022,Yavapai,AZ,Passenger,0,1,1,28,29,3.45
November 30 2024,Hays,TX,Passenger,1,0,1,5,6,16.67
January 31 2021,King,WA,Passenger,27773,8290,36063,1365879,1401942,2.57
November 30 2020,Duval,FL,Passenger,0,2,2,369,371,0.54
June 30 2018,Whatcom,WA,Truck,2,0,2,42280,42282,0.00
July 31 2022,Fulton,GA,Passenger,1,1,2,82,84,2.38
January 31 2022,Sarasota,FL,Passenger,2,0,2,42,44,4.55
September 30 2022,Marin,CA,Passenger,2,2,4,37,41,9.76
March 31 2017,Latah,ID,Passenger,0,1,1,125,126,0.79
December 31 2023,Okanogan,WA,Truck,8,0,8,16359,16367,0.05
February 28 2021,Pend Oreille,WA,Truck,0,0,0,5718,5718,0.00
April 30 2024,Wahkiakum,WA,Truck,5,0,5,1758,1763,0.28
May 31 2019,Penobscot,ME,Passenger,0,1,1,15,16,6.25
March 31 2022,Penobscot,ME,Passenger,0,2,2,7,9,22.22
November 30 2024,Okaloosa,FL,Passenger,0,1,1,64,65,1.54
August 31 2024,Salt Lake,UT,Passenger,3,0,3,95,98,3.06
October 31 2020,DeKalb,GA,Passenger,1,0,1,80,81,1.23
January 31 2019,Whatcom,WA,Truck,2,0,2,42723,42725,0.00
March 31 2017,Whatcom,WA,Truck,2,0,2,41385,41387,0.00
November 30 2021,Duval,FL,Passenger,0,2,2,346,348,0.57
April 30 2017,Duval,FL,Passenger,1,1,2,373,375,0.53
March 31 2018,Dakota,MN,Passenger,0,2,2,40,42,4.76
February 29 2020,Nassau,NY,Passenger,5,0,5,44,49,10.20
September 30 2024,Lee,AL,Passenger,1,0,1,12,13,7.69
